time_ana,D_ana_n1,D_ana_n2,D_ana_n3,D_ana_n4
0,0.0,0.0,0.0,0.0
2,1.3950083540704596,1.3950083540704596,1.3950083540704596,1.3950083540704596
4,2.439961050912374,2.439961050912374,2.439961050912374,2.439961050912374
6,3.3681634185197735,3.3681634185197735,3.3681634185197735,3.3681634185197735
8,4.230207563015769,4.230207563015769,4.230207563015769,4.230207563015769
10,5.047738363429159,5.047738363429159,5.047738363429159,5.047738363429159
12,5.83247992942576,5.83247992942576,5.83247992942576,5.83247992942576
14,6.591662181620383,6.591662181620383,6.591662181620383,6.591662181620383
16,7.330131593196288,7.330131593196288,7.330131593196288,7.330131593196288
18,8.051332569551555,8.051332569551555,8.051332569551555,8.051332569551555
20,8.75782182920033,8.75782182920033,8.75782182920033,8.75782182920033
22,9.451561974122322,9.451561974122322,9.451561974122322,9.451561974122322
24,10.134100314614285,10.134100314614285,10.134100314614285,10.134100314614285
26,10.806683726474091,10.806683726474091,10.806683726474091,10.806683726474091
28,11.470335385434687,11.470335385434687,11.470335385434687,11.470335385434687
30,12.125907882168043,12.125907882168043,12.125907882168043,12.125907882168043
32,12.774121025129944,12.774121025129944,12.774121025129944,12.774121025129944
34,13.415589462663823,13.415589462663823,13.415589462663823,13.415589462663823
36,14.050843331412421,14.050843331412421,14.050843331412421,14.050843331412421
38,14.68034388411919,14.68034388411919,14.68034388411919,14.68034388411919
40,15.30449557833039,15.30449557833039,15.30449557833039,15.30449557833039
42,15.923655549545275,15.923655549545275,15.923655549545275,15.923655549545275
44,16.538141161732057,16.538141161732057,16.538141161732057,16.538141161732057
46,17.148235930936274,17.148235930936274,17.148235930936274,17.148235930936274
48,17.75419457252721,17.75419457252721,17.75419457252721,17.75419457252721
50,18.356246950767364,18.356246950767364,18.356246950767364,18.356246950767364
52,18.95460139699406,18.95460139699406,18.95460139699406,18.95460139699406
54,19.54944748065276,19.54944748065276,19.54944748065276,19.54944748065276
56,20.14095833505424,20.14095833505424,20.14095833505424,20.14095833505424
58,20.72929261914998,20.72929261914998,20.72929261914998,20.72929261914998
60,21.31459618088943,21.31459618088943,21.31459618088943,21.31459618088943
62,21.89700351119955,21.89700351119955,21.89700351119955,21.89700351119955
64,22.476638891033208,22.476638891033208,22.476638891033208,22.476638891033208
66,23.053617541652415,23.053617541652415,23.053617541652415,23.053617541652415
68,23.628046498530708,23.628046498530708,23.628046498530708,23.628046498530708
70,24.200025451808685,24.200025451808685,24.200025451808685,24.200025451808685
72,24.769647397094577,24.769647397094577,24.769647397094577,24.769647397094577
74,25.336999315266755,25.336999315266755,25.336999315266755,25.336999315266755
76,25.902162656388168,25.902162656388168,25.902162656388168,25.902162656388168
78,26.4652138833607,26.4652138833607,26.4652138833607,26.4652138833607
80,27.026224847175143,27.026224847175143,27.026224847175143,27.026224847175143
82,27.585263218289764,27.585263218289764,27.585263218289764,27.585263218289764
84,28.14239278885345,28.14239278885345,28.14239278885345,28.14239278885345
86,28.697673812505307,28.697673812505307,28.697673812505307,28.697673812505307
88,29.25116326955297,29.25116326955297,29.25116326955297,29.25116326955297
90,29.802915116694013,29.802915116694013,29.802915116694013,29.802915116694013
92,30.352980447808388,30.352980447808388,30.352980447808388,30.352980447808388
94,30.901407825315438,30.901407825315438,30.901407825315438,30.901407825315438
96,31.448243389764244,31.448243389764244,31.448243389764244,31.448243389764244
98,31.993530988535525,31.993530988535525,31.993530988535525,31.993530988535525
100,32.53731244026197,32.53731244026197,32.53731244026197,32.53731244026197
102,33.07962757403682,33.07962757403682,33.07962757403682,33.07962757403682
104,33.62051438496231,33.62051438496231,33.62051438496231,33.62051438496231
106,34.1600091981356,34.1600091981356,34.1600091981356,34.1600091981356
108,34.69814670309551,34.69814670309551,34.69814670309551,34.69814670309551
110,35.23496010266766,35.23496010266766,35.23496010266766,35.23496010266766
112,35.77048119773052,35.77048119773052,35.77048119773052,35.77048119773052
114,36.304740443269324,36.304740443269324,36.304740443269324,36.304740443269324
116,36.837767065265275,36.837767065265275,36.837767065265275,36.837767065265275
118,37.36958910688171,37.36958910688171,37.36958910688171,37.36958910688171
120,37.90023349379788,37.90023349379788,37.90023349379788,37.90023349379788
122,38.4297261191246,38.4297261191246,38.4297261191246,38.4297261191246
124,38.95809187452439,38.95809187452439,38.95809187452439,38.95809187452439
126,39.48535472345883,39.48535472345883,39.48535472345883,39.48535472345883
128,40.01153775043046,40.01153775043046,40.01153775043046,40.01153775043046
130,40.53666317762404,40.53666317762404,40.53666317762404,40.53666317762404
132,41.06075240821983,41.06075240821983,41.06075240821983,41.06075240821983
134,41.583826118531086,41.583826118531086,41.583826118531086,41.583826118531086
136,42.1059042919524,42.1059042919524,42.1059042919524,42.1059042919524
138,42.62700619311318,42.62700619311318,42.62700619311318,42.62700619311318
140,43.147150420109796,43.147150420109796,43.147150420109796,43.147150420109796
142,43.66635497582813,43.66635497582813,43.66635497582813,43.66635497582813
144,44.184637287202946,44.184637287202946,44.184637287202946,44.184637287202946
146,44.702014194413344,44.702014194413344,44.702014194413344,44.702014194413344
148,45.21850198928905,45.21850198928905,45.21850198928905,45.21850198928905
150,45.73411646927898,45.73411646927898,45.73411646927898,45.73411646927898
152,46.24887294875566,46.24887294875566,46.24887294875566,46.24887294875566
154,46.76278625786316,46.76278625786316,46.76278625786316,46.76278625786316
156,47.275870770794214,47.275870770794214,47.275870770794214,47.275870770794214
158,47.78814044655579,47.78814044655579,47.78814044655579,47.78814044655579
160,48.299608836095416,48.299608836095416,48.299608836095416,48.299608836095416
162,48.81028908621649,48.81028908621649,48.81028908621649,48.81028908621649
164,49.32019396075277,49.32019396075277,49.32019396075277,49.32019396075277
166,49.829335871799714,49.829335871799714,49.829335871799714,49.829335871799714
168,50.33772688451124,50.33772688451124,50.33772688451124,50.33772688451124
170,50.845378723183146,50.845378723183146,50.845378723183146,50.845378723183146
172,51.352302787518155,51.352302787518155,51.352302787518155,51.352302787518155
174,51.858510176924696,51.858510176924696,51.858510176924696,51.858510176924696
176,52.364011693944384,52.364011693944384,52.364011693944384,52.364011693944384
178,52.86881785100875,52.86881785100875,52.86881785100875,52.86881785100875
180,53.372938883623995,53.372938883623995,53.372938883623995,53.372938883623995
182,53.876384775379016,53.876384775379016,53.876384775379016,53.876384775379016
184,54.379165251075335,54.379165251075335,54.379165251075335,54.379165251075335
186,54.881289782995196,54.881289782995196,54.881289782995196,54.881289782995196
188,55.382767601587446,55.382767601587446,55.382767601587446,55.382767601587446
190,55.88360770163102,55.88360770163102,55.88360770163102,55.88360770163102
192,56.383818855743954,56.383818855743954,56.383818855743954,56.383818855743954
194,56.88340966418561,56.88340966418561,56.88340966418561,56.88340966418561
196,57.382388502130496,57.382388502130496,57.382388502130496,57.382388502130496
198,57.8807635385364,57.8807635385364,57.8807635385364,57.8807635385364
200,58.37854274664926,58.37854274664926,58.37854274664926,58.37854274664926
202,58.87573390874063,58.87573390874063,58.87573390874063,58.87573390874063
204,59.372344632616965,59.372344632616965,59.372344632616965,59.372344632616965
206,59.868382377924014,59.868382377924014,59.868382377924014,59.868382377924014
208,60.36385441851464,60.36385441851464,60.36385441851464,60.36385441851464
210,60.85876786274877,60.85876786274877,60.85876786274877,60.85876786274877
212,61.35312965878598,61.35312965878598,61.35312965878598,61.35312965878598
214,61.846946598358564,61.846946598358564,61.846946598358564,61.846946598358564
216,62.340225335014814,62.340225335014814,62.340225335014814,62.340225335014814
218,62.832972389396076,62.832972389396076,62.832972389396076,62.832972389396076
220,63.32519413219875,63.32519413219875,63.32519413219875,63.32519413219875
222,63.816896798175236,63.816896798175236,63.816896798175236,63.816896798175236
